Periodo;Semana;Código;Ubicación;Genética;Estado;Dia Proceso;Fecha Evento;Partos;Entrada;Grupo
202511;48;C4672;LDC;1050;W;1;30/11/2025;9;19/11/2021;31
202511;48;C5048;LDC;SUPERCERDA;L;17;14/11/2025;9;08/04/2022;30
202511;48;C5156;LDC;SUPERCERDA;W;0;01/12/2025;9;11/05/2022;31
202511;48;C5198;LDC;1050;L;19;12/11/2025;9;01/06/2022;30
202511;48;C5238;LDC;SUPERCERDA;W;3;28/11/2025;9;11/05/2022;31
202511;48;C5322;LDC;SUPERCERDA;S;110;13/08/2025;8;01/06/2022;33
202511;48;C5382;LDC;1050;S;104;19/08/2025;8;24/06/2022;34
202511;48;C5560;LDC;1050;W;7;24/11/2025;8;21/09/2022;28
202511;48;C5638;LDC;1050;S;113;10/08/2025;7;06/10/2022;33
202511;48;C5666;LDC;1050;L;13;18/11/2025;8;21/09/2022;30
202511;48;C5674;LDC;SUPERCERDA;W;4;27/11/2025;8;06/10/2022;29
202511;48;C5718;LDC;1050;L;0;01/12/2025;8;28/10/2022;32
202511;48;C5729;LDC;SUPERCERDA;W;0;01/12/2025;8;28/10/2022;29
202511;48;C5736;LDC;1050;L;18;13/11/2025;8;06/10/2022;30
202511;48;C5742;LDC;1050;L;18;13/11/2025;8;28/10/2022;30
202511;48;C5743;LDC;1050;S;113;10/08/2025;7;28/10/2022;33
202511;48;C5744;LDC;1050;S;104;19/08/2025;7;28/10/2022;34
202511;48;C5755;LDC;SUPERCERDA;S;81;11/09/2025;7;28/10/2022;37
202511;48;C5790;LDC;1050;S;91;01/09/2025;7;24/11/2022;36
202511;48;C5801;LDC;1050;S;90;02/09/2025;7;24/11/2022;36
202511;48;C5847;LDC;1050;S;49;13/10/2025;7;05/01/2023;42
202511;48;C5867;LDC;1050;S;71;21/09/2025;7;13/12/2022;39
202511;48;C5873;LDC;SUPERCERDA;S;9;22/11/2025;7;16/02/2023;47
202511;48;C5876;LDC;1050;S;96;27/08/2025;6;05/01/2023;35
202511;48;C5885;LDC;1050;S;50;12/10/2025;7;24/11/2022;42
202511;48;C5896;LDC;1050;S;62;30/09/2025;7;13/12/2022;40
202511;48;C5899;LDC;1050;S;55;07/10/2025;7;25/01/2023;41
202511;48;C5922;LDC;1050;S;77;15/09/2025;7;13/12/2022;38
202511;48;C5938;LDC;1050;S;104;19/08/2025;6;16/02/2023;34
202511;48;C6014;LDC;1050;S;49;13/10/2025;7;25/01/2023;42
202511;48;C6025;LDC;1050;S;16;15/11/2025;7;25/01/2023;46
202511;48;C6026;LDC;1050;S;7;24/11/2025;7;16/02/2023;48
202511;48;C6037;LDC;1050;S;84;08/09/2025;6;16/02/2023;37
202511;48;C6052;LDC;1050;W;0;01/12/2025;7;16/02/2023;29
202511;48;C6054;LDC;SUPERCERDA;L;5;26/11/2025;7;22/03/2023;32
